ep     1 | eps 0.90 | return   191.35 | HO   7.06 | HOF 20.88 | SE  2.66 | loss nan |      2s
ep    25 | eps 0.89 | return   187.64 | HO   6.84 | HOF 21.41 | SE  2.66 | loss 3.7857 |     47s
ep    50 | eps 0.88 | return   190.81 | HO   6.82 | HOF 21.06 | SE  2.67 | loss 1.7161 |     98s
ep    75 | eps 0.86 | return   189.80 | HO   6.88 | HOF 21.02 | SE  2.66 | loss 0.3848 |    150s
ep   100 | eps 0.85 | return   192.51 | HO   6.83 | HOF 20.71 | SE  2.67 | loss 0.2905 |    203s
ep   125 | eps 0.84 | return   191.73 | HO   6.78 | HOF 20.64 | SE  2.67 | loss 0.2278 |    255s
ep   150 | eps 0.83 | return   191.59 | HO   6.72 | HOF 20.68 | SE  2.67 | loss 0.1740 |    306s
ep   175 | eps 0.82 | return   195.15 | HO   6.73 | HOF 20.33 | SE  2.67 | loss 0.1473 |    357s
ep   200 | eps 0.81 | return   193.07 | HO   6.83 | HOF 20.37 | SE  2.67 | loss 0.1335 |    409s
ep   225 | eps 0.79 | return   194.85 | HO   6.86 | HOF 20.17 | SE  2.67 | loss 0.1199 |    461s
ep   250 | eps 0.78 | return   190.67 | HO   6.77 | HOF 20.60 | SE  2.67 | loss 0.1079 |    511s
ep   275 | eps 0.77 | return   196.08 | HO   6.73 | HOF 20.09 | SE  2.68 | loss 0.1014 |    561s
ep   300 | eps 0.76 | return   192.19 | HO   6.78 | HOF 20.35 | SE  2.67 | loss 0.0949 |    613s
ep   325 | eps 0.75 | return   196.24 | HO   6.80 | HOF 20.13 | SE  2.68 | loss 0.0909 |    663s
ep   350 | eps 0.74 | return   193.33 | HO   6.71 | HOF 20.29 | SE  2.67 | loss 0.0853 |    714s
ep   375 | eps 0.72 | return   196.34 | HO   6.76 | HOF 20.06 | SE  2.68 | loss 0.0816 |    766s
ep   400 | eps 0.71 | return   195.69 | HO   6.74 | HOF 20.07 | SE  2.68 | loss 0.0800 |    816s
ep   425 | eps 0.70 | return   196.28 | HO   6.67 | HOF 19.89 | SE  2.68 | loss 0.0769 |    868s
ep   450 | eps 0.69 | return   195.98 | HO   6.73 | HOF 19.79 | SE  2.67 | loss 0.0765 |    920s
ep   475 | eps 0.68 | return   193.46 | HO   6.72 | HOF 19.99 | SE  2.67 | loss 0.0755 |    971s
ep   500 | eps 0.66 | return   195.60 | HO   6.74 | HOF 19.70 | SE  2.68 | loss 0.0757 |   1021s
ep   525 | eps 0.65 | return   199.73 | HO   6.68 | HOF 19.18 | SE  2.68 | loss 0.0754 |   1073s
ep   550 | eps 0.64 | return   204.13 | HO   6.74 | HOF 18.50 | SE  2.69 | loss 0.0739 |   1124s
ep   575 | eps 0.63 | return   203.22 | HO   6.77 | HOF 18.29 | SE  2.69 | loss 0.0748 |   1175s
ep   600 | eps 0.62 | return   203.52 | HO   6.90 | HOF 17.98 | SE  2.69 | loss 0.0734 |   1228s
ep   625 | eps 0.61 | return   207.61 | HO   6.81 | HOF 17.59 | SE  2.70 | loss 0.0721 |   1278s
ep   650 | eps 0.59 | return   207.37 | HO   6.93 | HOF 17.23 | SE  2.70 | loss 0.0712 |   1329s
ep   675 | eps 0.58 | return   210.45 | HO   6.86 | HOF 16.84 | SE  2.70 | loss 0.0696 |   1382s
ep   700 | eps 0.57 | return   213.12 | HO   6.76 | HOF 16.39 | SE  2.71 | loss 0.0753 |   1433s
ep   725 | eps 0.56 | return   212.92 | HO   6.87 | HOF 16.26 | SE  2.71 | loss 0.0709 |   1484s
ep   750 | eps 0.55 | return   215.30 | HO   6.91 | HOF 15.96 | SE  2.71 | loss 0.0741 |   1535s
ep   775 | eps 0.54 | return   216.39 | HO   6.88 | HOF 15.55 | SE  2.71 | loss 0.0723 |   1585s
ep   800 | eps 0.52 | return   217.56 | HO   6.80 | HOF 15.61 | SE  2.72 | loss 0.0708 |   1637s
ep   825 | eps 0.51 | return   219.05 | HO   6.75 | HOF 15.41 | SE  2.72 | loss 0.0732 |   1688s
ep   850 | eps 0.50 | return   220.68 | HO   6.91 | HOF 15.08 | SE  2.72 | loss 0.0673 |   1741s
ep   875 | eps 0.49 | return   222.62 | HO   6.84 | HOF 14.85 | SE  2.72 | loss 0.0679 |   1791s
ep   900 | eps 0.48 | return   225.73 | HO   6.99 | HOF 14.45 | SE  2.73 | loss 0.0727 |   1844s
ep   925 | eps 0.46 | return   225.38 | HO   6.85 | HOF 14.51 | SE  2.73 | loss 0.0791 |   1894s
ep   950 | eps 0.45 | return   227.55 | HO   6.84 | HOF 14.19 | SE  2.73 | loss 0.0782 |   1945s
ep   975 | eps 0.44 | return   230.62 | HO   6.88 | HOF 13.97 | SE  2.74 | loss 0.0777 |   1997s
ep  1000 | eps 0.43 | return   233.94 | HO   6.78 | HOF 14.00 | SE  2.75 | loss 0.0801 |   2048s
ep  1025 | eps 0.42 | return   234.39 | HO   6.80 | HOF 13.65 | SE  2.75 | loss 0.0882 |   2098s
ep  1050 | eps 0.41 | return   233.44 | HO   6.83 | HOF 13.15 | SE  2.74 | loss 0.1144 |   2150s
ep  1075 | eps 0.39 | return   232.39 | HO   6.92 | HOF 12.76 | SE  2.74 | loss 0.0814 |   2203s
ep  1100 | eps 0.38 | return   231.20 | HO   6.99 | HOF 12.38 | SE  2.74 | loss 0.0587 |   2253s
ep  1125 | eps 0.37 | return   231.01 | HO   7.02 | HOF 12.09 | SE  2.74 | loss 0.0533 |   2304s
ep  1150 | eps 0.36 | return   234.75 | HO   6.91 | HOF 12.08 | SE  2.75 | loss 0.0513 |   2355s
ep  1175 | eps 0.35 | return   235.40 | HO   6.98 | HOF 11.95 | SE  2.75 | loss 0.0582 |   2406s
